id,title,original_title,overview,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,poster_path,backdrop_path,status,tagline,homepage,original_language,adult,video,created_at,updated_at,genres,_match_title,_match_year,_match_key
1457740,Impunity,Impunidad,A former spy is tasked with preventing the Chilean dictator Augusto Pinochet’s escape after his arrest in London sparks international tensions.,,0.0,0.0,0.0,0.0,0,5.4972,,,Planned,,,en,0,0,2026-02-13 12:00:47,2026-02-13T17:30:47.102297,Thriller,impunity,,
1457866,The Adventures of Cliff Booth,The Adventures of Cliff Booth,"Eight years after the events of Once Upon a Time in… Hollywood, Cliff Booth navigates the studio system in his new role as a fixer.",,0.0,0.0,0.0,0.0,0,5.0976,,,Post Production,,,en,0,0,2026-02-13 12:52:20,2026-02-13T18:22:20.581669,"Drama,Comedy,Thriller",the adventures of cliff booth,,
1472304,Original Sound,Original Sound,A down on his luck aspiring musician gets his big break at the big time when an up and coming singer agrees to collaborate with him after she is caught stealing his song.,,0.0,0.0,0.0,0.0,0,4.6642,,,Post Production,,,en,0,0,2026-02-13 12:37:41,2026-02-13T18:07:41.980806,Drama,original sound,,
1473172,Desig,Desig,Desig is the haunting story of a married couple whose routine life is interrupted. Anonymous calls and a car with flickering lights on the side of a road. The mysterious connection with two strangers. Memories of a night that had almost been erased.,,101.0,0.0,0.0,0.0,0,4.2744,,,Released,,https://www.3cat.cat/3cat/desig/video/5729846/,ca,0,0,2026-02-13 13:33:16,2026-02-13T19:03:16.334755,Drama,desig,,
1473607,Total Forgiveness,Total Forgiveness,"Crippled with debt, Grant and Ally go head-to-head in this agonizing competition show to prove they'll do ANYTHING to pay off their student loans.",,214.0,0.0,0.0,0.0,0,4.2962,/yDxVqBnNVjnUISukplu5pZsopr6.jpg,,Released,,,en,0,0,2026-02-13 13:54:12,2026-02-13T19:24:12.488552,,total forgiveness,,
1482558,Lice,Lice,"A gruesome death. A sealed-off high school. Something crawling beneath the skin. When a student’s terrifying breakdown shocks a classroom, an almost invisible parasite spreads through the halls, instantly twisting teens into maniacs. Locked inside with no escape, students and staff spiral into violence and hysteria. Amid the chaos, Principal Van struggles to maintain control, drowning his anxiety in alcohol before losing his grip on reality – and his head. Burned-out science teacher Mr. Shanker steps up as the only adult trying to make sense of the madness, uncovering traces of a government experiment gone wrong. Outside the quarantined halls, Detective Sikorski races to contain the outbreak before it consumes the entire town. The real horror isn’t what’s under your skin – it’s what it makes you do.",,0.0,0.0,0.0,0.0,0,3.9002,,/9eCwdDRRd7LuXGnlBFblgmy4RhC.jpg,Post Production,,https://highlandfilmgroup.com/movies/lice,en,0,0,2026-02-13 13:51:53,2026-02-13T19:21:53.485655,"Horror,Comedy",lice,,
1483368,Polaris,Polaris,,,0.0,0.0,0.0,0.0,0,4.2846,/tqdWKonfwSPqzJ0WPF3Ty1An20a.jpg,,Planned,,,fr,0,0,2026-02-13 13:35:06,2026-02-13T19:05:06.255679,Science Fiction,polaris,,
1496291,Heartsnatcher,Heartsnatcher,"A psychoanalyst, newly arrived in a very superstitious village, encounters absurd events.",,0.0,8823529.0,0.0,0.0,0,4.0086,/y0CHGCm5YTZNu2tW3ZVmvFgphI4.jpg,,Planned,,https://www.endandend.com/heartsnatcher,en,0,0,2026-02-13 13:50:36,2026-02-13T19:20:36.244587,Horror,heartsnatcher,,
1502163,Julius,Julius,An upcoming documentary about the Norwegian chimpanzee Julius from Dyreparken in Kristiansand Norway.,,0.0,7916285.0,0.0,0.0,0,4.1627,,,Planned,,,no,0,0,2026-02-13 14:24:38,2026-02-13T19:54:38.750253,Documentary,julius,,
1503607,Spermateket,Spermateket,,,0.0,0.0,0.0,0.0,0,4.657,/58aK4ZxLt34Nqq01iS69WvOpi7a.jpg,,Released,,,no,0,0,2026-02-13 13:13:40,2026-02-13T18:43:40.089836,,spermateket,,
1518490,Liked,Liked,"Jimmy and Chad have been best friends forever. They trade places on Facebook, for ""Chad"" to hook up with this girl. Yet, Binger starts falling for the girl.",,0.0,0.0,0.0,0.0,0,4.4378,,,Post Production,,,en,0,0,2026-02-13 13:27:40,2026-02-13T18:57:40.204955,Comedy,liked,,
1522574,Sanctuary,Deca bogova,"In a post-apocalyptic Earth, the discovery of a cryogenically suspended woman provokes fear in a desperate village, sending a young warrior and the mysterious woman on a quest for a lost city and answers that could restore humanity.",,0.0,0.0,0.0,0.0,0,3.8173,/xdPjwpjqt90lbQAxEknNJg7mY8q.jpg,,Post Production,,,sr,0,0,2026-02-13 14:14:36,2026-02-13T19:44:36.234003,"Adventure,Science Fiction",sanctuary,,
1544552,Audition,Audition,"Follows a famous actress whose upscale New York lifestyle is disrupted when a young man appears, claiming to be her long-lost son.",,0.0,0.0,0.0,0.0,0,4.6362,,,Planned,,,en,0,0,2026-02-13 13:45:49,2026-02-13T19:15:49.093054,Thriller,audition,,
1591771,Zootopia 3,Zootopia 3,The third installment in the franchise. Plot TBA.,,0.0,0.0,0.0,0.0,0,4.3205,/gramV8L8bzYnd3jHFmf8QKOMW86.jpg,/pwqdccilWJLcQBxX5PNTACP41iK.jpg,Rumored,,,en,0,0,2026-02-13 12:59:33,2026-02-13T18:29:33.106751,"Adventure,Animation,Comedy,Family",zootopia 3,,
