model,mae_log,rmse_log,r2,mae_usd,rmse_usd
Dummy Regressor,1.9097635129724821,2.37789028815607,-0.024839186230542598,133501926.00968166,278962641.0678046
Ridge Regression,1.1357760306006563,1.55363974274061,0.562505355612672,225318604.89529878,1611513324.839631
