model,accuracy,precision,recall,f1,roc_auc
Dummy Classifier,0.785,0.0,0.0,0.0,0.5
Logistic Regression,0.7816666666666666,0.4956521739130435,0.8837209302325582,0.6350974930362117,0.9067298671801708
