title,release_date,release_year,worldwide_box_office,split
Mommie Dearest,1981-09-25,1981,19032261.0,train
Private Lessons,1981-06-10,1981,26279000.0,train
The Postman Always Rings Twice,1981-03-20,1981,12376625.0,train
Ragtime,1981-12-25,1981,14920781.0,train
Deadly Blessing,1981-08-14,1981,8279042.0,train
Eyewitness,1981-02-13,1981,6400000.0,train
Gallipoli,1981-08-28,1981,5732587.0,train
Outland,1981-05-22,1981,17374595.0,train
S.O.B.,1981-07-01,1981,14867086.0,train
The Beyond,1983-11-11,1981,123843.0,train
Ghost Story,1981-12-18,1981,23371905.0,train
My Bloody Valentine,1981-02-11,1981,5672031.0,train
The Funhouse,1981-03-13,1981,7886857.0,train
One from the Heart,1982-02-11,1981,636796.0,train
The French Lieutenant's Woman,1981-10-16,1981,26890068.0,train
The Great Muppet Caper,1981-06-26,1981,31206251.0,train
True Confessions,1981-09-25,1981,12850276.0,train
Nighthawks,1981-04-10,1981,19905359.0,train
Nice Dreams,1981-06-05,1981,37000000.0,train
Sharky's Machine,1981-12-18,1981,35610100.0,train
Neighbors,1981-12-18,1981,29916207.0,train
Puberty Blues,1981-12-10,1981,237000.0,train
Eye of the Needle,1981-07-24,1981,17583634.0,train
Wolfen,1981-07-24,1981,10626725.0,train
Student Bodies,1981-08-07,1981,5165432.0,train
Prince of the City,1981-08-26,1981,8124257.0,train
The Hand,1981-04-24,1981,2447576.0,train
Continental Divide,1981-09-18,1981,15578237.0,train
Diva,1982-04-23,1981,110014.0,train
Venom,1982-01-29,1981,5229643.0,train
Fort Apache the Bronx,1981-02-06,1981,29200000.0,train
Eyes of a Stranger,1981-03-27,1981,1118634.0,train
Under the Rainbow,1981-07-31,1981,18826490.0,train
Carbon Copy,1981-09-25,1981,9566593.0,train
The Incredible Shrinking Woman,1981-01-30,1981,20259961.0,train
The Night the Lights Went Out in Georgia,1981-06-05,1981,14923752.0,train
Quartet,1981-10-25,1981,12042.0,train
Modern Problems,1981-12-25,1981,26154211.0,train
Pennies from Heaven,1982-01-01,1981,9171289.0,train
The Legend of the Lone Ranger,1981-05-22,1981,12617845.0,train
Sphinx,1981-02-11,1981,2022771.0,train
Night School,1981-09-11,1981,1169875.0,train
Zoot Suit,1982-01-01,1981,3256082.0,train
Rich and Famous,1981-10-09,1981,14492125.0,train
Buddy Buddy,1981-12-11,1981,7258543.0,train
Bustin' Loose,1981-05-22,1981,31261269.0,train
Modern Romance,1981-03-13,1981,2863642.0,train
Heartbeeps,1981-12-18,1981,2154696.0,train
Back Roads,1981-03-13,1981,11809387.0,train
Take This Job and Shove It,1981-05-15,1981,17569027.0,train
