title,release_date,release_year,worldwide_box_office,split
Graffiti Bridge,1990-11-02,1990,4562778.0,train
Coupe de Ville,1990-03-09,1990,715983.0,train
Sibling Rivalry,1990-10-26,1990,17854933.0,train
Vital Signs,1990-04-13,1990,1224605.0,train
Body Chemistry,1990-03-09,1990,2415312.0,train
The Haunting of Morella,1990-02-09,1990,1547867.0,train
The Fourth War,1990-03-23,1990,1305887.0,train
Tune in Tomorrow...,1990-11-02,1990,1794001.0,train
Impulse,1990-04-06,1990,2544504.0,train
Crossing the Line,1990-08-31,1990,59227.0,train
Mindwalk,1991-12-20,1990,774048.0,train
The Nasty Girl,,1990,2293625.0,train
Terminator 2: Judgment Day,1991-07-03,1991,520881154.0,train
Point Break,1991-07-12,1991,83531958.0,train
The Silence of the Lambs,1991-02-14,1991,272742922.0,train
Hook,1991-12-11,1991,300854823.0,train
Boyz n the Hood,1991-07-12,1991,57529070.0,train
Cape Fear,1991-11-15,1991,182291969.0,train
Career Opportunities,1991-03-29,1991,11336986.0,train
The Addams Family,1991-11-22,1991,191502426.0,train
Thelma & Louise,1991-05-24,1991,45456285.0,train
Y Tu Mamá También,2001-06-08,1991,33616692.0,train
Robin Hood: Prince of Thieves,1991-06-14,1991,390493908.0,train
The Doors,1991-03-01,1991,34416893.0,train
Beauty and the Beast,1991-11-22,1991,424967620.0,train
Fried Green Tomatoes,1992-01-24,1991,119418501.0,train
JFK,1991-12-20,1991,205405498.0,train
The Rocketeer,1991-06-21,1991,46704056.0,train
My Girl,1991-11-27,1991,59489799.0,train
Backdraft,1991-05-24,1991,152368585.0,train
Bill & Ted's Bogus Journey,1991-07-19,1991,38039850.0,train
Father of the Bride,1991-12-20,1991,89325780.0,train
City Slickers,1991-06-07,1991,179033791.0,train
Don't Tell Mom the Babysitter's Dead,1991-06-07,1991,25196249.0,train
The Fisher King,1991-09-27,1991,41895491.0,train
Sleeping with the Enemy,1991-02-08,1991,174999005.0,train
The Beautiful Troublemaker,1991-09-04,1991,403056.0,train
Return to the Blue Lagoon,1991-08-02,1991,2807854.0,train
The Last Boy Scout,1991-12-13,1991,59509925.0,train
Star Trek VI: The Undiscovered Country,1991-12-06,1991,96888996.0,train
My Own Private Idaho,1991-07-20,1991,6401336.0,train
Drop Dead Fred,1991-05-24,1991,13878411.0,train
Hot Shots!,1991-07-31,1991,181096164.0,train
Hudson Hawk,1991-05-24,1991,17218080.0,train
The Prince of Tides,1991-12-25,1991,74787599.0,train
Barton Fink,1991-08-21,1991,6153939.0,train
Nothing But Trouble,1991-02-15,1991,8479793.0,train
What About Bob?,1991-05-17,1991,63707829.0,train
Naked Lunch,1992-04-24,1991,2641357.0,train
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,1991,78656813.0,train
The Naked Gun 2½: The Smell of Fear,1991-06-28,1991,86930411.0,train
Double Impact,1991-08-09,1991,30102717.0,train
The Commitments,1991-09-13,1991,14919570.0,train
The Man in the Moon,1991-10-04,1991,2853801.0,train
The Double Life of Véronique,1991-11-22,1991,2175939.0,train
New Jack City,1991-03-08,1991,47624353.0,train
Toy Soldiers,1991-04-26,1991,15073942.0,train
The People Under the Stairs,1991-11-01,1991,31347154.0,train
Regarding Henry,1991-07-10,1991,43001500.0,train
Bugsy,1991-12-20,1991,49114016.0,train
Doc Hollywood,1991-08-02,1991,54830779.0,train
Delicatessen,1992-04-03,1991,1794187.0,train
Night on Earth,1991-12-12,1991,2023808.0,train
Child's Play 3,1991-08-30,1991,20560255.0,train
Freddy's Dead: The Final Nightmare,1991-09-13,1991,34872033.0,train
Oscar,1991-04-26,1991,23562716.0,train
The Lovers on the Bridge,1999-07-02,1991,29679.0,train
Highlander II: The Quickening,1991-11-01,1991,15556340.0,train
Stone Cold,1991-05-17,1991,9151887.0,train
Wild Hearts Can't Be Broken,1991-05-24,1991,7294835.0,train
Showdown in Little Tokyo,1991-08-23,1991,2275557.0,train
Jungle Fever,1991-06-07,1991,43882682.0,train
Harley Davidson and the Marlboro Man,1991-08-23,1991,7434726.0,train
Not Without My Daughter,1991-01-11,1991,14789113.0,train
Defending Your Life,1991-04-05,1991,16371128.0,train
Flight of the Intruder,1991-01-18,1991,14587732.0,train
Problem Child 2,1991-07-03,1991,32704700.0,train
The Hard Way,1991-03-08,1991,65595485.0,train
Ricochet,1991-10-04,1991,21756163.0,train
L.A. Story,1991-02-08,1991,28862081.0,train
Rush,1992-01-17,1991,7241350.0,train
Dead Again,1991-08-30,1991,38016380.0,train
Out for Justice,1991-04-12,1991,39673161.0,train
Only Yesterday,2016-02-26,1991,545825.0,train
The Indian Runner,1991-09-20,1991,191125.0,train
An American Tail: Fievel Goes West,1991-11-22,1991,40766041.0,train
Life Stinks,1991-07-26,1991,4102526.0,train
Frankie and Johnny,1991-10-11,1991,22773535.0,train
Grand Canyon,1992-01-17,1991,40991329.0,train
Close My Eyes,1991-11-22,1991,135893.0,train
Homicide,1991-08-28,1991,2971661.0,train
Soapdish,1991-05-31,1991,36489888.0,train
Curly Sue,1991-10-25,1991,33691313.0,train
The Rapture,1991-10-04,1991,1277404.0,train
Mannequin: on the Move,1991-05-17,1991,3752428.0,train
Rock-A-Doodle,1992-04-03,1991,11657385.0,train
Necessary Roughness,1991-09-27,1991,26255594.0,train
Cool as Ice,1991-10-18,1991,1193062.0,train
Wild Orchid II: Two Shades of Blue,1992-05-08,1991,573904.0,train
Switch,1991-05-10,1991,15545943.0,train
White Fang,1991-01-18,1991,34793160.0,train
Until the End of the World,1991-12-25,1991,829625.0,train
Only the Lonely,1991-05-24,1991,25092802.0,train
Dutch,1991-07-19,1991,4603929.0,train
Shattered,1991-10-11,1991,11511031.0,train
Raise the Red Lantern,1991-12-18,1991,2603061.0,train
Suburban Commando,1991-10-04,1991,6948859.0,train
Popcorn,1991-02-01,1991,4205000.0,train
Mobsters,1991-07-26,1991,20246790.0,train
Operation Condor,1997-07-18,1991,10405394.0,train
If Looks Could Kill,1991-03-15,1991,7788597.0,train
The Butcher's Wife,1991-10-25,1991,9689816.0,train
Dying Young,1991-06-21,1991,82264675.0,train
Dogfight,1991-10-04,1991,394631.0,train
Whore,1991-10-18,1991,1008404.0,train
Hear My Song,,1991,4313473.0,train
Other People's Money,1991-10-18,1991,25682090.0,train
Delirious,1991-08-09,1991,5546827.0,train
Flirting,1992-11-14,1991,2415396.0,train
High Heels,1991-12-20,1991,1710057.0,train
Little Man Tate,1991-11-01,1991,25010896.0,train
Shadows and Fog,1992-03-20,1991,2735731.0,train
Shakes the Clown,1992-03-13,1991,115103.0,train
Black Robe,1991-10-04,1991,8211952.0,train
Billy Bathgate,1991-11-01,1991,15565363.0,train
Europa,1991-06-27,1991,1015007.0,train
The Doctor,1991-08-16,1991,38120905.0,train
Kafka,1991-11-15,1991,1059071.0,train
Johnny Suede,1992-04-22,1991,90091.0,train
Mystery Date,1991-08-16,1991,6166819.0,train
Ernest Scared Stupid,1991-10-11,1991,14143280.0,train
The Five Heartbeats,1991-03-29,1991,8750400.0,train
Mississippi Masala,1992-02-05,1991,7308786.0,train
The Marrying Man,1991-04-05,1991,12454768.0,train
"He Said, She Said",1991-02-22,1991,9804775.0,train
Poison,1991-08-16,1991,787280.0,train
King Ralph,1991-02-15,1991,52487045.0,train
Enchanted April,1992-12-25,1991,13200170.0,train
Mediterraneo,1991-01-31,1991,4532791.0,train
House Party 2,1991-10-23,1991,19438638.0,train
Deceived,1991-09-27,1991,28738096.0,train
The Perfect Weapon,1991-03-15,1991,14061361.0,train
Class Action,1991-03-15,1991,28277918.0,train
Under Suspicion,1992-02-28,1991,221295.0,train
Edward II,1991-10-18,1991,706131.0,train
The Princess and the Goblin,1994-06-03,1991,2105078.0,train
Rambling Rose,1991-09-20,1991,6266621.0,train
Big Girls Don't Cry... They Get Even,1992-05-08,1991,271327.0,train
K2,1992-05-01,1991,3106559.0,train
Prospero's Books,1991-08-30,1991,1750301.0,train
Pure Luck,1991-08-09,1991,24941969.0,train
F/X2,1991-05-10,1991,21082165.0,train
The Adjuster,,1991,396573.0,train
Mortal Thoughts,1991-04-19,1991,18784957.0,train
Another You,1991-07-26,1991,2865916.0,train
For the Boys,1991-11-27,1991,23202444.0,train
Beastmaster 2: Through the Portal of Time,1991-08-30,1991,869325.0,train
McBain,1991-09-20,1991,456127.0,train
Eve of Destruction,1991-01-18,1991,5451119.0,train
A Rage in Harlem,1991-05-03,1991,10438504.0,train
Rhapsody in August,1991-12-20,1991,516431.0,train
Kickboxer 2: the Road Back,1991-06-14,1991,1250712.0,train
V.I. Warshawski,1991-07-26,1991,11128309.0,train
The Super,1991-10-04,1991,11000863.0,train
Proof,1992-03-20,1991,524668.0,train
At Play in the Fields of the Lord,1991-12-06,1991,1345903.0,train
True Colors,1991-03-15,1991,418807.0,train
Impromptu,,1991,4076211.0,train
A Kiss Before Dying,1991-04-26,1991,15429177.0,train
Guilty by Suspicion,1991-03-15,1991,9480198.0,train
Scissors,1991-03-22,1991,2368.0,train
Where Angels Fear to Tread,1992-02-28,1991,1403033.0,train
Tous les matins du monde,1991-12-18,1991,3089497.0,train
The Hitman,1991-10-25,1991,4654288.0,train
Bingo,1991-08-09,1991,8667684.0,train
Queens Logic,1991-02-01,1991,612781.0,train
Body Parts,1991-08-02,1991,9188150.0,train
One Good Cop,1991-05-03,1991,11276846.0,train
Year of the Gun,1991-11-01,1991,1182273.0,train
Strictly Business,1991-11-08,1991,7683267.0,train
The Efficiency Expert,1992-11-06,1991,179469.0,train
All I Want for Christmas,1991-11-08,1991,14812144.0,train
29th Street,1991-11-01,1991,2120564.0,train
Shout,1991-10-04,1991,3547684.0,train
Daughters of the Dust,1991-12-27,1991,1689723.0,train
Once Around,1991-02-01,1991,14851083.0,train
Sólo con tu pareja,1992-12-25,1991,9915.0,train
The Taking of Beverly Hills,1991-10-11,1991,939277.0,train
Run,1991-02-01,1991,4409328.0,train
Paradise,1991-10-04,1991,18634643.0,train
Madame Bovary,1991-12-25,1991,1942423.0,train
Company Business,1991-09-06,1991,1501785.0,train
Talent for the Game,1991-06-28,1991,336396.0,train
City of Hope,1991-11-15,1991,1345015.0,train
Riff-Raff,1993-02-12,1991,295444.0,train
The Object of Beauty,1991-04-12,1991,5136759.0,train
Liebestraum,,1991,133645.0,train
Voyager,1992-01-31,1991,516517.0,train
Closet Land,1991-03-06,1991,259012.0,train
Crooked Hearts,1991-09-06,1991,30964.0,train
The Unborn,1991-03-29,1991,1159578.0,train
Van Gogh,1992-10-30,1991,193205.0,train
Late for Dinner,1991-09-20,1991,8906823.0,train
Lovers: A True Story,1991-04-12,1991,1407309.0,train
Johnny Stecchino,1991-10-24,1991,626057.0,train
Stepping Out,1991-10-11,1991,246000.0,train
The Inner Circle,1991-12-25,1991,93292.0,train
Defenseless,1991-08-23,1991,6413375.0,train
Reservoir Dogs,1992-09-02,1992,2913644.0,train
Basic Instinct,1992-03-20,1992,352927224.0,train
Candyman,1992-10-16,1992,25795897.0,train
My Cousin Vinny,1992-03-13,1992,64088552.0,train
The Last of the Mohicans,1992-09-25,1992,75505856.0,train
Dracula,1992-11-13,1992,215862692.0,train
Unforgiven,1992-08-07,1992,159157447.0,train
A Few Good Men,1992-12-11,1992,243240178.0,train
A League of Their Own,1992-07-01,1992,132440069.0,train
The Bodyguard,1992-11-25,1992,411006740.0,train
Scent of a Woman,1993-01-08,1992,134095253.0,train
Batman Returns,1992-06-19,1992,266892996.0,train
The Mighty Ducks,1992-10-02,1992,50752337.0,train
Aladdin,1992-11-25,1992,504050219.0,train
Sister Act,1992-05-29,1992,231605150.0,train
Alien 3,1992-05-22,1992,159814498.0,train
Death Becomes Her,1992-07-31,1992,149022650.0,train
Far and Away,1992-05-22,1992,137783840.0,train
The Crying Game,1993-02-19,1992,62548947.0,train
Howards End,1993-02-26,1992,26341736.0,train
Under Siege,1992-10-09,1992,156563139.0,train
Deep Cover,1992-04-15,1992,16639799.0,train
Single White Female,1992-08-14,1992,48017402.0,train
Cool World,1992-07-10,1992,14110589.0,train
Glengarry Glen Ross,1992-10-02,1992,10725228.0,train
Wayne's World,1992-02-14,1992,183097323.0,train
Army of Darkness,1993-02-19,1992,11502976.0,train
A River Runs Through It,1992-10-30,1992,43440294.0,train
Twin Peaks: Fire Walk with Me,1992-08-28,1992,4184990.0,train
Of Mice and Men,1992-10-02,1992,5471088.0,train
Beethoven,1992-04-03,1992,147214049.0,train
Universal Soldier,1992-07-10,1992,36299898.0,train
Buffy the Vampire Slayer,1992-07-31,1992,16624456.0,train
Sleepwalkers,1992-04-10,1992,30524763.0,train
Chaplin,1993-01-08,1992,9493259.0,train
The Lover,1992-10-30,1992,5013090.0,train
Home Alone 2: Lost in New York,1992-11-20,1992,358994850.0,train
The Hand That Rocks the Cradle,1992-01-10,1992,88036683.0,train
Newsies,1992-04-10,1992,2819485.0,train
Malcolm X,1992-11-18,1992,48169910.0,train
Patriot Games,1992-06-05,1992,178051587.0,train
Dead Alive,1993-02-12,1992,242623.0,train
Poison Ivy,1992-05-08,1992,1829804.0,train
Sneakers,1992-09-11,1992,105232691.0,train
The Lawnmower Man,1992-03-06,1992,32100816.0,train
The Player,1992-05-08,1992,21706101.0,train
Encino Man,1992-05-22,1992,40693477.0,train
White Men Can't Jump,1992-03-27,1992,90753806.0,train
Lethal Weapon 3,1992-05-15,1992,321731527.0,train
American Me,1992-03-13,1992,13086430.0,train
El Mariachi,1993-02-26,1992,2040920.0,train
Bitter Moon,1994-03-18,1992,1862805.0,train
Pet Sematary II,1992-08-28,1992,17092453.0,train
Bad Lieutenant,1992-12-17,1992,2038916.0,train
Singles,1992-09-18,1992,18471850.0,train
FernGully: The Last Rainforest,1992-04-10,1992,32710894.0,train
HouseSitter,1992-06-12,1992,94900635.0,train
School Ties,1992-09-18,1992,14715067.0,train
Hoffa,1992-12-25,1992,29302121.0,train
Juice,1992-01-17,1992,20146880.0,train
Damage,1993-01-22,1992,7532911.0,train
Forever Young,1992-12-16,1992,127956187.0,train
Man Bites Dog,1993-01-15,1992,205569.0,train
3 Ninjas,1992-08-07,1992,29000301.0,train
Hellraiser III: Hell on Earth,1992-09-11,1992,12534961.0,train
Body of Evidence,1993-01-15,1992,13273595.0,train
"Honey, I Blew Up the Kid",1992-07-17,1992,58662452.0,train
Captain Ron,1992-09-18,1992,22518097.0,train
The Cutting Edge,1992-03-27,1992,25105517.0,train
Passenger 57,1992-11-06,1992,44065653.0,train
Children of the Corn II: the Final Sacrifice,1993-01-29,1992,6980986.0,train
Ladybugs,1992-03-27,1992,14796494.0,train
Radio Flyer,1992-02-21,1992,4651977.0,train
Strictly Ballroom,1993-02-12,1992,11749595.0,train
Raising Cain,1992-08-07,1992,37170057.0,train
Orlando,1993-06-09,1992,5378172.0,train
Gladiator,1992-03-06,1992,9223441.0,train
Split Second,1992-05-01,1992,5430822.0,train
Tom and Jerry: The Movie,1993-07-30,1992,3560469.0,train
Toys,1992-12-18,1992,23278931.0,train
Romper Stomper,1992-11-12,1992,175340.0,train
1492: Conquest of Paradise,1992-10-09,1992,7191399.0,train
Pure Country,1992-10-23,1992,15164458.0,train
Boomerang,1992-07-01,1992,131052444.0,train
The Power of One,1992-03-27,1992,2827107.0,train
Dr. Giggles,1992-10-23,1992,8403433.0,train
Sidekicks,1993-04-30,1992,17180393.0,train
Medicine Man,1992-02-07,1992,45500797.0,train
Honeymoon in Vegas,1992-08-28,1992,35208854.0,train
Thunderheart,1992-04-03,1992,22660758.0,train
Stop! Or My Mom Will Shoot,1992-02-21,1992,70611210.0,train
Innocent Blood,1992-09-25,1992,4943279.0,train
Unlawful Entry,1992-06-26,1992,57138719.0,train
Lorenzo's Oil,1993-01-29,1992,7286388.0,train
Final Analysis,1992-02-07,1992,28590665.0,train
One False Move,1992-05-08,1992,1543112.0,train
Stay Tuned,1992-08-14,1992,10736401.0,train
Consenting Adults,1992-10-16,1992,21591728.0,train
Fortress,1993-09-03,1992,6739141.0,train
Once Upon a Crime...,1992-03-06,1992,8669847.0,train
Mom and Dad Save the World,1992-07-24,1992,2034470.0,train
Supercop,1992-07-04,1992,16270600.0,train
Jennifer 8,1992-11-06,1992,11390479.0,train
Bébé's Kids,1992-07-31,1992,8442162.0,train
Memoirs of an Invisible Man,1992-02-28,1992,14358033.0,train
Peter's Friends,1992-12-25,1992,4058564.0,train
Freejack,1992-01-17,1992,17129026.0,train
Como agua para chocolate,1993-05-28,1992,21744201.0,train
Leap of Faith,1992-12-18,1992,23369283.0,train
Noises Off...,1992-03-20,1992,2280148.0,train
Class Act,1992-06-05,1992,13272113.0,train
Diggstown,1992-08-14,1992,4836637.0,train
Indochine,1992-12-23,1992,5603158.0,train
Nemesis,1992-12-26,1992,2001124.0,train
Kuffs,1992-01-10,1992,21142815.0,train
Shining Through,1992-01-31,1992,43838238.0,train
Mo' Money,1992-07-24,1992,40227006.0,train
Husbands and Wives,1992-09-18,1992,10555619.0,train
Trespass,1992-12-25,1992,13249535.0,train
Love Potion No. 9,1992-11-13,1992,754935.0,train
Rapid Fire,1992-08-21,1992,14356479.0,train
Wind,1992-09-11,1992,5519569.0,train
Hero,1992-10-02,1992,19507345.0,train
South Central,1992-09-18,1992,1373196.0,train
The Muppet Christmas Carol,1992-12-11,1992,32574382.0,train
Un Coeur en Hiver,1993-06-04,1992,1605437.0,train
Tokyo Decadence,1993-04-30,1992,277845.0,train
Mr. Baseball,1992-10-02,1992,20883046.0,train
Love Crimes,1992-01-24,1992,2287928.0,train
CrissCross,1992-05-08,1992,3052738.0,train
Waterland,1992-10-30,1992,1100218.0,train
The Distinguished Gentleman,1992-12-04,1992,46666502.0,train
White Sands,1992-04-24,1992,9011574.0,train
Belle Epoque,1994-02-25,1992,5418216.0,train
Knight Moves,1993-01-22,1992,923418.0,train
Light Sleeper,1992-03-13,1992,1055987.0,train
A Midnight Clear,1992-04-24,1992,1526697.0,train
Bob Roberts,1992-09-04,1992,4479470.0,train
Sarafina!,1992-09-25,1992,7306242.0,train
In the Soup,1992-08-13,1992,256249.0,train
A Stranger Among Us,1992-07-17,1992,12282994.0,train
Where the Day Takes You,1992-09-11,1992,390152.0,train
Passion Fish,1992-12-11,1992,4814619.0,train
That Night,1993-08-06,1992,20194.0,train
Gas Food Lodging,1992-07-10,1992,1342613.0,train
American Heart,1993-05-07,1992,384048.0,train
The Babe,1992-04-17,1992,19930973.0,train
Christopher Columbus: The Discovery,1992-08-21,1992,8251071.0,train
Prelude to a Kiss,1992-07-10,1992,22697691.0,train
The Best Intentions,1992-07-10,1992,1253106.0,train
The Public Eye,1992-10-16,1992,3067917.0,train
Article 99,1992-03-13,1992,6375979.0,train
The Mambo Kings,1992-02-28,1992,6742168.0,train
Into the West,1993-09-17,1992,4790801.0,train
The Playboys,1992-04-22,1992,4906900.0,train
City of Joy,1992-04-17,1992,14683921.0,train
Straight Talk,1992-04-03,1992,21202099.0,train
Qing shao nian nuo zha,1994-08-04,1992,28791.0,train
Love Field,1993-02-12,1992,1014726.0,train
Mr. Saturday Night,1992-09-25,1992,13351357.0,train
Twin Dragons,1999-04-09,1992,8359717.0,train
Aces: Iron Eagle III,1992-06-12,1992,2517600.0,train
The Living End,1992-08-21,1992,692585.0,train
Simple Men,1992-11-06,1992,143010.0,train
Guncrazy,1993-09-09,1992,114516.0,train
Folks!,1992-05-01,1992,6132924.0,train
Léolo,1993-04-02,1992,611703.0,train
Night and the City,1992-10-23,1992,6202756.0,train
Whispers in the Dark,1992-08-07,1992,11124511.0,train
Zebrahead,1992-10-23,1992,1557771.0,train
Hyenas,2019-04-26,1992,24672.0,train
A Tale of Winter,1992-01-29,1992,52431.0,train
Man Trouble,1992-07-17,1992,4096030.0,train
Brain Donors,1992-04-17,1992,918239.0,train
Out on a Limb,1992-09-04,1992,1659542.0,train
Traces of Red,1992-11-11,1992,3206714.0,train
Storyville,1992-09-30,1992,422503.0,train
Map of the Human Heart,1993-05-14,1992,2806881.0,train
Ruby Cairo,1993-10-29,1992,608866.0,train
The Waterdance,1992-05-13,1992,1723319.0,train
Year of the Comet,1992-04-24,1992,2791515.0,train
This Is My Life,1992-02-21,1992,2922094.0,train
Mistress,1992-07-24,1992,1102469.0,train
Passed Away,1992-04-24,1992,4030793.0,train
Blame It on the Bellboy,1992-03-06,1992,3104545.0,train
Leaving Normal,1992-04-29,1992,1514114.0,train
House of Angels,1993-08-06,1992,9481984.0,train
The Long Day Closes,1993-05-28,1992,22765.0,train
Shadow of the Wolf,1993-03-05,1992,1434174.0,train
The Gun in Betty Lou's Handbag,1992-08-21,1992,3721911.0,train
Tombstone,1993-12-25,1993,56505065.0,train
The Sandlot,1993-04-07,1993,34348443.0,train
Jurassic Park,1993-06-11,1993,1033928303.0,train
Dazed and Confused,1993-09-24,1993,7993039.0,train
Schindler's List,1994-02-04,1993,322161245.0,train
True Romance,1993-09-10,1993,13088850.0,train
Naked,1994-02-04,1993,1769305.0,train
Robin Hood: Men in Tights,1993-07-28,1993,35739755.0,train
A Bronx Tale,1993-10-01,1993,17287898.0,train
What's Eating Gilbert Grape,1994-03-04,1993,10032765.0,train
Hocus Pocus,1993-07-16,1993,44947705.0,train
Carlito's Way,1993-11-12,1993,63848322.0,train
Mrs. Doubtfire,1993-11-24,1993,441286195.0,train
The Fugitive,1993-08-06,1993,368875760.0,train
Demolition Man,1993-10-08,1993,58055768.0,train
Dennis the Menace,1993-06-25,1993,117270765.0,train
Falling Down,1993-02-26,1993,40903593.0,train
The Pelican Brief,1993-12-17,1993,195268056.0,train
The Firm,1993-06-30,1993,270248367.0,train
Last Action Hero,1993-06-18,1993,137298489.0,train
Sister Act 2: Back in the Habit,1993-12-10,1993,57319029.0,train
Groundhog Day,1993-02-12,1993,71074049.0,train
Philadelphia,1994-01-14,1993,206678440.0,train
Super Mario Bros.,1993-05-28,1993,20915465.0,train
Sleepless in Seattle,1993-06-25,1993,227927165.0,train
Cliffhanger,1993-05-28,1993,255000211.0,train
The Piano,1994-02-11,1993,40185556.0,train
The Nightmare Before Christmas,1993-10-29,1993,91491247.0,train
Rookie of the Year,1993-07-07,1993,56500758.0,train
"Blood In, Blood Out",1993-04-30,1993,4496583.0,train
In the Name of the Father,1994-02-25,1993,65796862.0,train
Alive,1993-01-15,1993,36733909.0,train
Addams Family Values,1993-11-19,1993,48919043.0,train
Indecent Proposal,1993-04-07,1993,266614059.0,train
In the Line of Fire,1993-07-09,1993,176997168.0,train
The Age of Innocence,1993-10-01,1993,32255440.0,train
Menace II Society,1993-05-26,1993,27912072.0,train
Gettysburg,1993-10-08,1993,10769960.0,train
The Three Musketeers,1993-11-12,1993,53898845.0,train
Homeward Bound: The Incredible Journey,1993-02-12,1993,41833324.0,train
The Secret Garden,1993-08-13,1993,31181347.0,train
Free Willy,1993-07-16,1993,153698625.0,train
RoboCop 3,1993-11-05,1993,10696210.0,train
The Remains of the Day,1993-11-19,1993,23237911.0,train
Hard Target,1993-08-20,1993,74189677.0,train
Fire in the Sky,1993-03-12,1993,19885552.0,train
Cool Runnings,1993-10-01,1993,154856263.0,train
Dave,1993-05-07,1993,63270710.0,train
Kalifornia,1993-09-03,1993,2395231.0,train
Benny & Joon,1993-04-16,1993,23261580.0,train
Sliver,1993-05-21,1993,116300000.0,train
Rudy,1993-10-22,1993,22881563.0,train
Coneheads,1993-07-23,1993,21274717.0,train
So I Married an Axe Murderer,1993-07-30,1993,11585483.0,train
Hot Shots! Part Deux,1993-05-21,1993,133752825.0,train
Much Ado About Nothing,1993-07-02,1993,22549338.0,train
The Crush,1993-04-02,1993,13609396.0,train
Loaded Weapon 1,1993-02-05,1993,27979399.0,train
This Boy's Life,1993-04-23,1993,4104962.0,train
Three Colors: Blue,1993-09-08,1993,1341154.0,train
Grumpy Old Men,1993-12-25,1993,70172621.0,train
A Perfect World,1993-11-24,1993,135130999.0,train
Leprechaun,1993-01-08,1993,8556940.0,train
Malice,1993-10-01,1993,46405336.0,train
What's Love Got to Do with It,1993-06-25,1993,39100956.0,train
Short Cuts,1993-10-01,1993,6110979.0,train
Son in Law,1993-07-02,1993,36448400.0,train
Striking Distance,1993-09-17,1993,24107867.0,train
Return of the Living Dead III,1994-02-25,1993,54207.0,train
Searching for Bobby Fischer,1993-08-11,1993,7266383.0,train
Jason Goes to Hell: the Final Friday,1993-08-13,1993,15935068.0,train
Matinee,1993-01-29,1993,9532895.0,train
The Good Son,1993-09-24,1993,60613008.0,train
The Beverly Hillbillies,1993-10-15,1993,57405220.0,train
Beethoven's 2nd,1993-12-17,1993,118243066.0,train
Killing Zoe,,1993,418961.0,train
Cronos,,1993,621392.0,train
Geronimo: An American Legend,1993-12-10,1993,18635620.0,train
Wayne's World 2,1993-12-10,1993,48198019.0,train
Point of No Return,1993-03-19,1993,30038362.0,train
Boxing Helena,1993-09-03,1993,1796389.0,train
Romeo Is Bleeding,1994-02-04,1993,3275585.0,train
Rising Sun,1993-07-30,1993,107198790.0,train
For Love or Money,1993-10-01,1993,11146270.0,train
Teenage Mutant Ninja Turtles III,1993-03-19,1993,42273609.0,train
Body Snatchers,1994-02-18,1993,428868.0,train
Stalingrad,1993-01-21,1993,152972.0,train
Airborne,1993-09-17,1993,2850263.0,train
The Thing Called Love,1993-08-27,1993,1029721.0,train
The Vanishing,1993-02-05,1993,14543394.0,train
The House of the Spirits,1994-04-01,1993,6265311.0,train
Undercover Blues,1993-09-10,1993,12324660.0,train
Little Buddha,1994-05-25,1993,4858139.0,train
Dragon,1993-05-07,1993,63513743.0,train
Poetic Justice,1993-07-23,1993,27515786.0,train
The Joy Luck Club,1993-10-29,1993,32901136.0,train
The Cement Garden,1994-02-11,1993,322975.0,train
Untamed Heart,1993-02-12,1993,18898806.0,train
Batman: Mask of the Phantasm,1993-12-25,1993,5635204.0,train
Freaked,1994-03-31,1993,29296.0,train
Swing Kids,1993-03-05,1993,5632086.0,train
Heart and Souls,1993-08-13,1993,16589540.0,train
Needful Things,1993-08-27,1993,15185672.0,train
Ruby in Paradise,1993-11-05,1993,1001437.0,train
Six Degrees of Separation,1993-12-08,1993,6405918.0,train
The Man Without a Face,1993-08-25,1993,24760338.0,train
Farewell My Concubine,1993-10-15,1993,6122607.0,train
Sniper,1993-01-29,1993,18994653.0,train
Judgment Night,1993-10-15,1993,12526677.0,train
Shadowlands,1994-01-14,1993,25842377.0,train
Arizona Dream,1994-09-09,1993,112547.0,train
Nowhere to Run,1993-01-15,1993,22189039.0,train
King of the Hill,1993-08-20,1993,1214231.0,train
Mad Dog and Glory,1993-03-05,1993,11081586.0,train
We're Back! A Dinosaur's Story,1993-11-24,1993,9317021.0,train
Red Rock West,1993-05-14,1993,2502551.0,train
The Program,1993-09-24,1993,23032565.0,train
Ghost in the Machine,1993-12-29,1993,5086909.0,train
Fearless,1993-11-05,1993,6995302.0,train
Manhattan Murder Mystery,1993-08-18,1993,11330911.0,train
Surf Ninjas,1993-08-20,1993,4916135.0,train
Weekend at Bernie's II,1993-07-09,1993,12741891.0,train
Les visiteurs,1996-07-12,1993,659810.0,train
The Adventures of Huck Finn,1993-04-02,1993,24103594.0,train
Made in America,1993-05-28,1993,104942695.0,train
Dream Lover,1994-05-06,1993,256264.0,train
M. Butterfly,1993-10-01,1993,1498795.0,train
The Dark Half,1993-04-23,1993,10611160.0,train
Only the Strong,1993-08-27,1993,3283371.0,train
My Life,1993-11-12,1993,27804899.0,train
Mi vida loca,1994-07-15,1993,3267313.0,train
Look Who's Talking Now,1993-11-05,1993,10340263.0,train
The Meteor Man,1993-08-06,1993,8016708.0,train
Fatal Instinct,1993-10-29,1993,7839327.0,train
CB4,1993-03-12,1993,17953778.0,train
Calendar Girl,1993-09-03,1993,2570550.0,train
Heaven & Earth,1994-01-07,1993,5864949.0,train
