title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
Shattered,1991-10-11,16.906553056777135,1991,10.0,4.0,0,3,14680832.666666666,6,21464825.0,0,,Unknown,fall,11511031.0,16.25881643784295
Raise the Red Lantern,1991-12-18,,1991,12.0,4.0,1,1,1986433.0,1,1986433.0,0,,Unknown,holiday,2603061.0,14.772199002363807
Suburban Commando,1991-10-04,,1991,10.0,4.0,0,0,,1,16093651.0,14,16959801.64285714,Unknown,fall,6948859.0,15.754088175309805
Popcorn,1991-02-01,,1991,2.0,1.0,0,0,,0,,0,,Unknown,winter,4205000.0,15.251785089201286
Mobsters,1991-07-26,16.951004817371683,1991,7.0,3.0,0,0,,2,7159519.0,87,54556040.26436782,Unknown,summer,20246790.0,16.82350686982346
Operation Condor,1997-07-18,,1991,7.0,3.0,0,1,113164.0,2,547490.5,3,31789543.333333332,Unknown,summer,10405394.0,16.157834979607333
If Looks Could Kill,1991-03-15,,1991,3.0,1.0,0,1,49998613.0,0,,64,42989188.53125,Unknown,spring,7788597.0,15.86817142732355
The Butcher's Wife,1991-10-25,,1991,10.0,4.0,0,0,,2,28339441.5,93,70795446.70967741,Unknown,fall,9689816.0,16.0865860982397
Dying Young,1991-06-21,16.705882371415992,1991,6.0,2.0,0,6,31683832.0,0,,0,,Unknown,summer,82264675.0,18.22545236330367
Dogfight,1991-10-04,,1991,10.0,4.0,0,1,1354268.0,2,4555999.5,64,42989188.53125,Unknown,fall,394631.0,12.885708964062172
Whore,1991-10-18,,1991,10.0,4.0,0,5,5063275.8,2,1486766.0,0,,Unknown,fall,1008404.0,13.823880432633471
Hear My Song,,,1991,,,0,0,,0,,4,3046186.25,Unknown,Unknown,4313473.0,15.2772541698928
Other People's Money,1991-10-18,,1991,10.0,4.0,0,5,33688914.8,3,24116631.333333332,64,42989188.53125,Unknown,fall,25682090.0,17.061304458704825
Delirious,1991-08-09,16.705882371415992,1991,8.0,3.0,0,1,66673516.0,4,32719034.75,38,17762226.52631579,Unknown,winter,5546827.0,15.528736790804682
Flirting,1992-11-14,,1991,11.0,4.0,1,2,765198.0,1,213901.0,4,16984374.5,Unknown,holiday,2415396.0,14.697374220792335
High Heels,1991-12-20,,1991,12.0,4.0,1,3,3879131.6666666665,1,4088140.0,0,,Unknown,holiday,1710057.0,14.35203784603229
Little Man Tate,1991-11-01,16.118095750958314,1991,11.0,4.0,1,0,,1,969205.0,42,22811531.64285714,Unknown,holiday,25010896.0,17.034822167864384
Shadows and Fog,1992-03-20,16.454567959008102,1991,3.0,1.0,0,12,12147711.583333334,5,10525770.8,9,9369392.444444444,Unknown,spring,2735731.0,14.821909599710475
Shakes the Clown,1992-03-13,14.151983508870947,1991,3.0,1.0,0,0,,1,6436211.0,0,,Unknown,spring,115103.0,11.65359134649535
Black Robe,1991-10-04,,1991,10.0,4.0,0,6,33531513.0,1,1601612.0,0,,Unknown,fall,8211952.0,15.921101333772873
Billy Bathgate,1991-11-01,17.6867115897055,1991,11.0,4.0,1,3,15517130.666666666,2,266012717.5,31,81714729.0,Unknown,holiday,15565363.0,16.56055874738588
Europa,1991-06-27,,1991,6.0,2.0,0,0,,0,,0,,Unknown,summer,1015007.0,13.830407052200362
The Doctor,1991-08-16,,1991,8.0,3.0,0,1,31853080.0,8,26874361.75,31,81714729.0,Unknown,winter,38120905.0,17.45627340351926
Kafka,1991-11-15,16.213405921671733,1991,11.0,4.0,1,1,24741667.0,3,7900004.0,0,,Unknown,holiday,1059071.0,13.872903610940973
Johnny Suede,1992-04-22,13.122365377402328,1991,4.0,2.0,0,0,,0,,0,,Unknown,spring,90091.0,11.408586649421268
Mystery Date,1991-08-16,16.118095750958314,1991,8.0,3.0,0,0,,1,9873044.0,42,22811531.64285714,Unknown,winter,6166819.0,15.634693865936184
Ernest Scared Stupid,1991-10-11,,1991,10.0,4.0,0,3,25580353.333333332,3,25580353.333333332,31,81714729.0,Unknown,fall,14143280.0,16.46475022829144
The Five Heartbeats,1991-03-29,,1991,3.0,1.0,0,1,5228617.0,1,5228617.0,42,42390119.666666664,Unknown,spring,8750400.0,15.98461008585513
Mississippi Masala,1992-02-05,,1991,2.0,1.0,0,1,2080758.0,3,8870201.333333334,0,,Unknown,winter,7308786.0,15.804587880884378
The Marrying Man,1991-04-05,17.073607134447293,1991,4.0,2.0,0,0,,1,39337581.0,2,36606807.5,Unknown,spring,12454768.0,16.33761415973806
"He Said, She Said",1991-02-22,,1991,2.0,1.0,0,1,1883811.0,6,20131847.666666668,93,70795446.70967741,Unknown,winter,9804775.0,16.098380171864626
Poison,1991-08-16,12.429220196836383,1991,8.0,3.0,0,0,,0,,0,,Unknown,winter,787280.0,13.576340515768178
King Ralph,1991-02-15,16.951004817371683,1991,2.0,1.0,0,2,27549343.5,0,,87,54556040.26436782,Unknown,winter,52487045.0,17.77607695425868
Enchanted April,1992-12-25,,1991,12.0,4.0,1,3,3670311.6666666665,0,,0,,Unknown,holiday,13200170.0,16.395740342018144
Mediterraneo,1991-01-31,,1991,1.0,1.0,0,0,,0,,0,,Unknown,winter,4532791.0,15.326848643143313
House Party 2,1991-10-23,15.424948670398354,1991,10.0,4.0,0,0,,1,26385627.0,1,26385627.0,Unknown,fall,19438638.0,16.782773344257667
Deceived,1991-09-27,,1991,9.0,3.0,0,1,201468.0,6,33279805.666666668,31,81714729.0,Unknown,fall,28738096.0,17.173734222087464
The Perfect Weapon,1991-03-15,16.118095750958314,1991,3.0,1.0,0,1,14697005.0,0,,93,70795446.70967741,Unknown,spring,14061361.0,16.45894131020991
Class Action,1991-03-15,,1991,3.0,1.0,0,6,31043004.5,12,20623167.75,3,15355598.666666666,Unknown,spring,28277918.0,17.15759181071225
Under Suspicion,1992-02-28,15.607270193858982,1991,2.0,1.0,0,0,,1,48878502.0,0,,Unknown,winter,221295.0,12.30725645086449
Edward II,1991-10-18,,1991,10.0,4.0,0,2,5242.0,0,,4,3046186.25,Unknown,fall,706131.0,13.46755746783741
The Princess and the Goblin,1994-06-03,16.118095750958314,1991,6.0,2.0,0,0,,0,,0,,Unknown,summer,2105078.0,14.55986355408561
Rambling Rose,1991-09-20,15.830413711839864,1991,9.0,3.0,0,3,11586485.333333334,0,,13,46981656.692307696,Unknown,fall,6266621.0,15.650748011447092
Big Girls Don't Cry... They Get Even,1992-05-08,,1991,5.0,2.0,0,2,10111371.0,1,10609321.0,14,16959801.64285714,Unknown,summer,271327.0,12.511083700103729
K2,1992-05-01,,1991,5.0,2.0,0,2,7672898.0,1,796368.0,93,70795446.70967741,Unknown,summer,3106559.0,14.949026562640265
Prospero's Books,1991-08-30,,1991,8.0,3.0,0,2,4074737.0,0,,1,7724701.0,Unknown,winter,1750301.0,14.375298902439532
Pure Luck,1991-08-09,16.64931202316099,1991,8.0,3.0,0,0,,1,1025762.0,0,,Unknown,winter,24941969.0,17.03206248467163
F/X2,1991-05-10,16.612791953770035,1991,5.0,2.0,0,2,18222725.0,2,12305482.5,42,22811531.64285714,Unknown,summer,21082165.0,16.86393802778202
The Adjuster,,,1991,,,0,0,,0,,0,,Unknown,Unknown,396573.0,12.890617935682354
Mortal Thoughts,1991-04-19,15.894952224644102,1991,4.0,2.0,0,7,2155078.8571428573,2,28339441.5,74,33012533.06756757,Unknown,spring,18784957.0,16.74856700116125
Another You,1991-07-26,16.648723960844016,1991,7.0,3.0,0,0,,10,29633915.7,39,25946654.153846152,Unknown,summer,2865916.0,14.868398926727592
For the Boys,1991-11-27,17.50439003707821,1991,11.0,4.0,1,2,65387707.0,5,38385399.6,1,57041866.0,Unknown,holiday,23202444.0,16.959768219014656
Beastmaster 2: Through the Portal of Time,1991-08-30,15.607270193858982,1991,8.0,3.0,0,0,,3,8388450.666666667,0,,Unknown,winter,869325.0,13.67547347774217
McBain,1991-09-20,,1991,9.0,3.0,0,3,5792890.666666667,5,7340917.2,0,,Unknown,fall,456127.0,13.030528750861542
Eve of Destruction,1991-01-18,16.380459992348886,1991,1.0,1.0,0,1,4636169.0,2,23807714.0,0,,Unknown,winter,5451119.0,15.511331650113407
A Rage in Harlem,1991-05-03,15.894952224644102,1991,5.0,2.0,0,0,,1,2181286.0,3,4248718.333333333,Unknown,summer,10438504.0,16.16101193093106
Rhapsody in August,1991-12-20,,1991,12.0,4.0,1,2,3567222.0,0,,0,,Unknown,holiday,516431.0,13.1546989035018
Kickboxer 2: the Road Back,1991-06-14,,1991,6.0,2.0,0,4,12970111.75,0,,11,10273928.636363637,Unknown,summer,1250712.0,14.03922434666224
V.I. Warshawski,1991-07-26,,1991,7.0,3.0,0,5,16582226.8,4,13608164.0,2,36606807.5,Unknown,summer,11128309.0,16.22500286985376
The Super,1991-10-04,16.906553056777135,1991,10.0,4.0,0,3,48570614.333333336,0,,0,,Unknown,fall,11000863.0,16.21348437313266
Proof,1992-03-20,,1991,3.0,1.0,0,0,,0,,0,,Unknown,spring,524668.0,13.170522866549593
At Play in the Fields of the Lord,1991-12-06,17.399029524198163,1991,12.0,4.0,1,2,12201500.0,6,21464825.0,2,12154792.5,Unknown,holiday,1345903.0,14.112576464206395
True Colors,1991-03-15,16.811242881518265,1991,3.0,1.0,0,8,46415865.75,7,10517183.42857143,93,70795446.70967741,Unknown,spring,418807.0,12.945167859992827
Impromptu,,,1991,,,0,0,,1,27201487.0,0,,Unknown,Unknown,4076211.0,15.220678683748439
A Kiss Before Dying,1991-04-26,16.52356082573315,1991,4.0,2.0,0,1,1451857.0,6,7108127.833333333,87,54556040.26436782,Unknown,spring,15429177.0,16.551770950075188
Guilty by Suspicion,1991-03-15,,1991,3.0,1.0,0,0,,11,24197471.636363637,64,42989188.53125,Unknown,spring,9480198.0,16.064715865572065
Scissors,1991-03-22,,1991,3.0,1.0,0,0,,0,,1,1547397.0,Unknown,spring,2368.0,7.7702232041587855
Where Angels Fear to Tread,1992-02-28,,1991,2.0,1.0,0,1,1560700.0,1,277646.0,1,15445131.0,Unknown,winter,1403033.0,14.154147592575711
Tous les matins du monde,1991-12-18,,1991,12.0,4.0,1,0,,5,8427140.8,0,,Unknown,holiday,3089497.0,14.943519176129021
The Hitman,1991-10-25,,1991,10.0,4.0,0,3,4747011.0,13,12901236.384615384,2,3874753.5,Unknown,fall,4654288.0,15.353299718037183
Bingo,1991-08-09,16.118095750958314,1991,8.0,3.0,0,3,27432769.0,0,,39,25946654.153846152,Unknown,winter,8667684.0,15.975112300415063
Queens Logic,1991-02-01,,1991,2.0,1.0,0,2,25225161.5,6,20131847.666666668,13,46981656.692307696,Unknown,winter,612781.0,13.325764523608967
Body Parts,1991-08-02,16.118095750958314,1991,8.0,3.0,0,0,,0,,93,70795446.70967741,Unknown,winter,9188150.0,16.033425277135837
One Good Cop,1991-05-03,15.201805169084134,1991,5.0,2.0,0,0,,7,79135872.0,2,36606807.5,Unknown,summer,11276846.0,16.238262243684236
Year of the Gun,1991-11-01,,1991,11.0,4.0,1,5,3597931.2,3,28445322.0,0,,Unknown,holiday,1182273.0,13.982950260574974
Strictly Business,1991-11-08,,1991,11.0,4.0,1,0,,0,,0,,Unknown,holiday,7683267.0,15.854555535448872
The Efficiency Expert,1992-11-06,,1991,11.0,4.0,1,0,,1,421201.0,0,,Unknown,holiday,179469.0,12.097763342023322
All I Want for Christmas,1991-11-08,,1991,11.0,4.0,1,1,2439705.0,0,,93,70795446.70967741,Unknown,holiday,14812144.0,16.510958010327702
29th Street,1991-11-01,,1991,11.0,4.0,1,0,,0,,1,1544973.0,Unknown,holiday,2120564.0,14.567193120574826
Shout,1991-10-04,,1991,10.0,4.0,0,0,,8,63166857.125,0,,Unknown,fall,3547684.0,15.081805836057589
Daughters of the Dust,1991-12-27,,1991,12.0,4.0,1,0,,0,,0,,Unknown,holiday,1689723.0,14.340075759952668
Once Around,1991-02-01,16.588099342704055,1991,2.0,1.0,0,1,8349284.0,8,25743855.875,1,1680358.0,Unknown,winter,14851083.0,16.513583417181856
Sólo con tu pareja,1992-12-25,,1991,12.0,4.0,1,0,,0,,0,,Unknown,holiday,9915.0,9.201904893155081
The Taking of Beverly Hills,1991-10-11,16.759949589762293,1991,10.0,4.0,0,5,13138211.2,2,4202049.0,0,,Unknown,fall,939277.0,13.752866774011306
Run,1991-02-01,16.588099342704055,1991,2.0,1.0,0,1,13687027.0,5,7540189.2,2,36606807.5,Unknown,winter,4409328.0,15.299233081651394
Paradise,1991-10-04,,1991,10.0,4.0,0,0,,3,49890382.0,0,,Unknown,fall,18634643.0,16.74053298687615
Madame Bovary,1991-12-25,,1991,12.0,4.0,1,0,,0,,0,,Unknown,holiday,1942423.0,14.479447235619418
Company Business,1991-09-06,16.705882371415992,1991,9.0,3.0,0,2,49394351.5,12,20623167.75,2,22205548.5,Unknown,fall,1501785.0,14.222165624457713
Talent for the Game,1991-06-28,,1991,6.0,2.0,0,2,6913465.0,1,13994920.0,93,70795446.70967741,Unknown,summer,336396.0,12.726047289086349
City of Hope,1991-11-15,14.914123179965662,1991,11.0,4.0,1,5,2887342.6,0,,0,,Unknown,holiday,1345015.0,14.111916466858101
Riff-Raff,1993-02-12,,1991,2.0,1.0,0,1,1232210.0,0,,0,,Unknown,winter,295444.0,12.596237973293338
The Object of Beauty,1991-04-12,,1991,4.0,2.0,0,0,,1,1584970.0,3,2953207.6666666665,Unknown,spring,5136759.0,15.451933088482583
Liebestraum,,15.747032114495013,1991,,,0,2,14762859.5,0,,0,,Unknown,Unknown,133645.0,11.802949792200367
Voyager,1992-01-31,,1991,1.0,1.0,0,1,4960385.0,2,11014235.5,1,4960385.0,Unknown,winter,516517.0,13.154865416886182
Closet Land,1991-03-06,15.201805169084134,1991,3.0,1.0,0,0,,0,,3,59094544.666666664,Unknown,spring,259012.0,12.46463353247224
Crooked Hearts,1991-09-06,,1991,9.0,3.0,0,0,,0,,6,5598833.0,Unknown,fall,30964.0,10.34061281337216
The Unborn,1991-03-29,,1991,3.0,1.0,0,0,,1,95000.0,0,,Unknown,spring,1159578.0,13.963567566172657
Van Gogh,1992-10-30,,1991,10.0,4.0,0,0,,0,,0,,Unknown,fall,193205.0,12.171512256178952
Late for Dinner,1991-09-20,16.454567959008102,1991,9.0,3.0,0,1,6254148.0,0,,5,37674463.6,Unknown,fall,8906823.0,16.00232828247925
Lovers: A True Story,1991-04-12,,1991,4.0,2.0,0,0,,1,4088140.0,0,,Unknown,spring,1407309.0,14.157190638764856
Johnny Stecchino,1991-10-24,,1991,10.0,4.0,0,0,,0,,1,4594452.0,Unknown,fall,626057.0,13.347198297547514
Stepping Out,1991-10-11,,1991,10.0,4.0,0,2,10352494.0,0,,93,70795446.70967741,Unknown,fall,246000.0,12.413090879946887
The Inner Circle,1991-12-25,,1991,12.0,4.0,1,3,23700323.333333332,1,406881.0,0,,Unknown,holiday,93292.0,11.443500357225501
Defenseless,1991-08-23,,1991,8.0,3.0,0,1,9974446.0,2,7535779.5,0,,Unknown,winter,6413375.0,15.673896367318248
Reservoir Dogs,1992-09-02,13.997832948091215,1992,9.0,3.0,0,0,,0,,0,,Unknown,fall,2913644.0,14.884915432646755
Basic Instinct,1992-03-20,17.707330876483063,1992,3.0,1.0,0,2,157371301.0,7,116807133.71428572,17,68669657.29411764,Unknown,spring,352927224.0,19.681772432170284
Candyman,1992-10-16,15.607270193858982,1992,10.0,4.0,0,1,241278.0,0,,0,,Unknown,fall,25795897.0,17.065726045003178
My Cousin Vinny,1992-03-13,16.213405921671733,1992,3.0,1.0,0,2,12801506.0,1,11000863.0,48,46164971.979166664,Unknown,spring,64088552.0,17.975776325600318
The Last of the Mohicans,1992-09-25,17.50439003707821,1992,9.0,3.0,0,3,8111097.333333333,2,12375098.5,9,23126944.777777776,Unknown,fall,75505856.0,18.13972078736932
Dracula,1992-11-13,17.50439003707821,1992,11.0,4.0,1,8,32252758.625,5,3099334.0,0,,Unknown,holiday,215862692.0,19.190153082962333
Unforgiven,1992-08-07,16.48273883399067,1992,8.0,3.0,0,9,28152276.444444444,13,35262760.92307692,73,48310951.1369863,Unknown,winter,159157447.0,18.88540450921501
A Few Good Men,1992-12-11,17.529082649058825,1992,12.0,4.0,1,6,43428444.5,8,118154823.25,80,33206473.1375,Unknown,holiday,243240178.0,19.309559904114614
A League of Their Own,1992-07-01,17.50439003707821,1992,7.0,3.0,0,3,77955952.33333333,12,45965492.083333336,80,33206473.1375,Unknown,summer,132440069.0,18.701640799184407
The Bodyguard,1992-11-25,17.034386422832473,1992,11.0,4.0,1,2,14560783.5,10,128436621.4,0,,Unknown,holiday,411006740.0,19.83412017378586
Scent of a Woman,1993-01-08,17.249497794707484,1992,1.0,1.0,0,2,198987042.0,7,52811905.85714286,97,53492920.958762884,Unknown,winter,134095253.0,18.714060956126733
Batman Returns,1992-06-19,18.197537205138154,1992,6.0,2.0,0,4,153185771.0,8,70653493.75,73,48310951.1369863,Unknown,summer,266892996.0,19.402358375739027
The Mighty Ducks,1992-10-02,16.118095750958314,1992,10.0,4.0,0,3,26290825.0,6,27184840.333333332,0,,Unknown,fall,50752337.0,17.742468243790547
Aladdin,1992-11-25,17.147715103853763,1992,11.0,4.0,1,1,211343479.0,0,,12,89940981.0,Unknown,holiday,504050219.0,20.038186463928767
Sister Act,1992-05-29,17.249497794707484,1992,5.0,2.0,0,3,100821717.66666667,3,19409327.333333332,37,75209671.67567568,Unknown,summer,231605150.0,19.26054454434843
Alien 3,1992-05-22,17.72753358339242,1992,5.0,2.0,0,0,,3,64447042.0,48,46164971.979166664,Unknown,summer,159814498.0,18.889524319345742
Death Becomes Her,1992-07-31,17.822843761378564,1992,7.0,3.0,0,5,275172108.6,9,45872210.222222224,97,53492920.958762884,Unknown,summer,149022650.0,18.819608872490072
Far and Away,1992-05-22,17.909855136853043,1992,5.0,2.0,0,7,78396854.85714285,8,118154823.25,4,51694848.0,Unknown,summer,137783840.0,18.74119664551691
The Crying Game,1993-02-19,,1992,2.0,1.0,0,4,7329274.25,0,,4,5796164.75,Unknown,winter,62548947.0,17.9514599761906
Howards End,1993-02-26,,1992,2.0,1.0,0,7,4948661.857142857,2,300335.0,4,1359299.5,Unknown,winter,26341736.0,17.08666519743541
Under Siege,1992-10-09,17.370858648025116,1992,10.0,4.0,0,3,16620737.0,4,40980638.75,73,48310951.1369863,Unknown,fall,156563139.0,18.868969937059454
Deep Cover,1992-04-15,15.894952224644102,1992,4.0,2.0,0,1,10438504.0,1,14545844.0,0,,Unknown,spring,16639799.0,16.627307974054336
Single White Female,1992-08-14,16.588099342704055,1992,8.0,3.0,0,2,9333349.5,0,,80,33206473.1375,Unknown,winter,48017402.0,17.687074065662262
Cool World,1992-07-10,17.216707972959764,1992,7.0,3.0,0,1,760883.0,3,2248860.3333333335,0,,Unknown,summer,14110589.0,16.462436137270892
Glengarry Glen Ross,1992-10-02,16.341239282272525,1992,10.0,4.0,0,4,5155134.75,7,52811905.85714286,19,15116220.105263159,Unknown,fall,10725228.0,16.188109374531756
Wayne's World,1992-02-14,16.811242881518265,1992,2.0,1.0,0,0,,0,,110,63732587.163636364,Unknown,winter,183097323.0,19.02552839457344
Army of Darkness,1993-02-19,16.213405921671733,1992,2.0,1.0,0,4,14441007.75,2,4440214.0,15,15478355.866666667,Unknown,winter,11502976.0,16.258116429397752
A River Runs Through It,1992-10-30,16.300417291085605,1992,10.0,4.0,0,2,34296358.5,2,6749261.5,1,1730005.0,Unknown,fall,43440294.0,17.586898024542954
Twin Peaks: Fire Walk with Me,1992-08-28,16.118095750958314,1992,8.0,3.0,0,3,18035293.666666668,0,,19,15116220.105263159,Unknown,winter,4184990.0,15.247015111365766
Of Mice and Men,1992-10-02,,1992,10.0,4.0,0,1,188964.0,2,3360864.5,41,16844063.073170733,Unknown,fall,5471088.0,15.514988240506408
Beethoven,1992-04-03,,1992,4.0,2.0,0,1,32704700.0,0,,97,53492920.958762884,Unknown,spring,147214049.0,18.80739820807371
Universal Soldier,1992-07-10,16.951004817371683,1992,7.0,3.0,0,0,,6,17982830.5,0,,Unknown,summer,36299898.0,17.407325516862063
Buffy the Vampire Slayer,1992-07-31,15.76142084987672,1992,7.0,3.0,0,0,,1,3752428.0,48,46164971.979166664,Unknown,summer,16624456.0,16.626385482318653
Sleepwalkers,1992-04-10,16.52356082573315,1992,4.0,2.0,0,1,3813293.0,1,2807854.0,80,33206473.1375,Unknown,spring,30524763.0,17.234048846563425
Chaplin,1993-01-08,17.249497794707484,1992,1.0,1.0,0,3,24290195.0,1,5979011.0,17,68669657.29411764,Unknown,winter,9493259.0,16.066092631091003
The Lover,1992-10-30,,1992,10.0,4.0,0,3,19956666.666666668,0,,2,1220411.0,Unknown,fall,5013090.0,15.427563248883594
Home Alone 2: Lost in New York,1992-11-20,17.147715103853763,1992,11.0,4.0,1,4,135413842.25,1,476684675.0,48,46164971.979166664,Unknown,holiday,358994850.0,19.69881860373131
The Hand That Rocks the Cradle,1992-01-10,16.275099485238066,1992,1.0,1.0,0,3,8837523.0,1,1354268.0,6,18747144.333333332,Unknown,winter,88036683.0,18.29326414921534
Newsies,1992-04-10,16.52356082573315,1992,4.0,2.0,0,0,,1,22238696.0,0,,Unknown,spring,2819485.0,14.852065156797645
Malcolm X,1992-11-18,17.312018149733785,1992,11.0,4.0,1,5,23803013.2,5,11135110.6,0,,Unknown,holiday,48169910.0,17.690245130981694
Patriot Games,1992-06-05,17.622173069956816,1992,6.0,2.0,0,2,5258523.0,9,178203815.1111111,0,,Unknown,summer,178051587.0,18.99758388649131
Dead Alive,1993-02-12,14.914123179965662,1992,2.0,1.0,0,0,,0,,0,,Unknown,winter,242623.0,12.399268198876007
Poison Ivy,1992-05-08,14.914123179965662,1992,5.0,2.0,0,1,1510053.0,2,15083232.5,19,15116220.105263159,Unknown,summer,1829804.0,14.419719961762913
Sneakers,1992-09-11,16.951004817371683,1992,9.0,3.0,0,2,42715503.5,4,46967679.5,0,,Unknown,fall,105232691.0,18.47168457044813
The Lawnmower Man,1992-03-06,16.118095750958314,1992,3.0,1.0,0,0,,1,9188150.0,1,1919653.0,Unknown,spring,32100816.0,17.284392039489752
The Player,1992-05-08,15.894952224644102,1992,5.0,2.0,0,5,10752248.0,2,14025746.5,4,3499095.5,Unknown,summer,21706101.0,16.89310397713858
Encino Man,1992-05-22,15.76142084987672,1992,5.0,2.0,0,0,,3,27800896.0,0,,Unknown,summer,40693477.0,17.521578391871863
White Men Can't Jump,1992-03-27,,1992,3.0,1.0,0,2,35009987.5,2,45753517.5,48,46164971.979166664,Unknown,spring,90753806.0,18.323660980642565
Lethal Weapon 3,1992-05-15,17.370858648025116,1992,5.0,2.0,0,6,89653482.0,12,56519632.5,73,48310951.1369863,Unknown,summer,321731527.0,19.589227991759024
American Me,1992-03-13,16.588099342704055,1992,3.0,1.0,0,0,,2,7165658.0,1,24941969.0,Unknown,spring,13086430.0,16.387086449831543
El Mariachi,1993-02-26,8.853808274977197,1992,2.0,1.0,0,0,,0,,80,33206473.1375,Unknown,winter,2040920.0,14.528911734526451
Bitter Moon,1994-03-18,15.424948670398354,1992,3.0,1.0,0,2,9639887.5,0,,1,1710057.0,Unknown,spring,1862805.0,14.43759451104287
Pet Sematary II,1992-08-28,15.894952224644102,1992,8.0,3.0,0,2,29085069.0,0,,110,63732587.163636364,Unknown,winter,17092453.0,16.65414763752762
Bad Lieutenant,1992-12-17,13.815511557963774,1992,12.0,4.0,1,2,1908283.5,0,,0,,Unknown,holiday,2038916.0,14.527929342499528
Singles,1992-09-18,,1992,9.0,3.0,0,1,21515196.0,0,,73,48310951.1369863,Unknown,fall,18471850.0,16.731758563721485
FernGully: The Last Rainforest,1992-04-10,16.993564429978885,1992,4.0,2.0,0,0,,0,,0,,Unknown,spring,32710894.0,17.303218760803343
HouseSitter,1992-06-12,17.073607134447293,1992,6.0,2.0,0,4,42566165.5,13,39906667.692307696,4,44385661.5,Unknown,summer,94900635.0,18.36834096534906
School Ties,1992-09-18,16.705882371415992,1992,9.0,3.0,0,2,10928877.5,0,,110,63732587.163636364,Unknown,fall,14715067.0,16.50438256077393
Hoffa,1992-12-25,17.370858648025116,1992,12.0,4.0,1,2,109052259.0,7,24759634.14285714,48,46164971.979166664,Unknown,holiday,29302121.0,17.193170494573053
Juice,1992-01-17,15.424948670398354,1992,1.0,1.0,0,0,,0,,1,7683267.0,Unknown,winter,20146880.0,16.818560045294014
Damage,1993-01-22,,1992,1.0,1.0,0,4,1571664.0,4,6189770.75,2,3076157.5,Unknown,winter,7532911.0,15.834792244806769
Forever Young,1992-12-16,,1992,12.0,4.0,1,6,20344460.0,12,56519632.5,73,48310951.1369863,Unknown,holiday,127956187.0,18.667198482042295
Man Bites Dog,1993-01-15,,1992,1.0,1.0,0,0,,0,,0,,Unknown,winter,205569.0,12.233541887519719
3 Ninjas,1992-08-07,15.687312888712007,1992,8.0,3.0,0,0,,0,,37,75209671.67567568,Unknown,winter,29000301.0,17.18281680168963
Hellraiser III: Hell on Earth,1992-09-11,15.424948670398354,1992,9.0,3.0,0,1,808114.0,0,,0,,Unknown,fall,12534961.0,16.344032258058167
Body of Evidence,1993-01-15,17.216707972959764,1992,1.0,1.0,0,1,1730005.0,1,7305209.0,2,13702449.0,Unknown,winter,13273595.0,16.401287356787144
"Honey, I Blew Up the Kid",1992-07-17,17.50439003707821,1992,7.0,3.0,0,7,19714958.14285714,2,130853608.5,0,,Unknown,summer,58662452.0,17.887310437891223
Captain Ron,1992-09-18,16.993564429978885,1992,9.0,3.0,0,3,11520900.333333334,6,35786428.166666664,37,75209671.67567568,Unknown,fall,22518097.0,16.92982989940964
The Cutting Edge,1992-03-27,,1992,3.0,1.0,0,2,21494008.5,0,,41,16844063.073170733,Unknown,spring,25105517.0,17.038598220578052
Passenger 57,1992-11-06,16.52356082573315,1992,11.0,4.0,1,1,7683267.0,2,45753517.5,73,48310951.1369863,Unknown,holiday,44065653.0,17.60119121611687
Children of the Corn II: the Final Sacrifice,1993-01-29,13.710151153416941,1992,1.0,1.0,0,0,,0,,0,,Unknown,winter,6980986.0,15.758700868753412
Ladybugs,1992-03-27,,1992,3.0,1.0,0,6,11105055.5,2,60283883.0,0,,Unknown,spring,14796494.0,16.50990088636271
Radio Flyer,1992-02-21,17.370858648025116,1992,2.0,1.0,0,6,89653482.0,1,2260616.0,80,33206473.1375,Unknown,winter,4651977.0,15.352803063460756
Strictly Ballroom,1993-02-12,,1992,2.0,1.0,0,0,,0,,0,,Unknown,winter,11749595.0,16.27932941498461
Raising Cain,1992-08-07,16.300417291085605,1992,8.0,3.0,0,8,29711759.0,3,18064293.0,1,2346150.0,Unknown,winter,37170057.0,17.43101410267039
Orlando,1993-06-09,15.201805169084134,1992,6.0,2.0,0,0,,1,5006.0,0,,Unknown,summer,5378172.0,15.497859283385793
Gladiator,1992-03-06,16.811242881518265,1992,3.0,1.0,0,1,30050028.0,0,,80,33206473.1375,Unknown,spring,9223441.0,16.03725884473864
Split Second,1992-05-01,15.76142084987672,1992,5.0,2.0,0,0,,5,4692198.4,0,,Unknown,summer,5430822.0,15.507601245802778
Tom and Jerry: The Movie,1993-07-30,15.894952224644102,1992,7.0,3.0,0,0,,0,,0,,Unknown,summer,3560469.0,15.085403116585924
Toys,1992-12-18,17.57671069691365,1992,12.0,4.0,1,8,81355536.5,8,64017445.5,1,1059071.0,Unknown,holiday,23278931.0,16.963059303486503
Romper Stomper,1992-11-12,,1992,11.0,4.0,1,0,,0,,0,,Unknown,holiday,175340.0,12.074487928331514
1492: Conquest of Paradise,1992-10-09,17.665658180950928,1992,10.0,4.0,0,5,49425175.8,6,7537533.5,5,2770892.0,Unknown,fall,7191399.0,15.788396425624528
